gene,base_mean,log2fc,pvalue
G1991,23.46,0.496,0.367
G1992,9.23,0.025,0.973
G1993,469.52,-0.137,0.641
G1994,359.78,-0.363,0.233
G1995,22.35,-0.184,0.742
G1996,85.41,-0.877,0.0257
G1997,292.16,0.369,0.239
G1998,61.02,0.536,0.207
G1999,20.71,-0.897,0.117
G2000,26.09,-0.061,0.909
G2001,1.79,0.121,0.932
G2002,15.08,-0.242,0.702
G2003,29.63,0.098,0.849
G2004,18.37,0.587,0.322
G2005,15.8,-0.345,0.579
G2006,21.66,0.034,0.952
G2007,63.52,0.01,0.981
G2008,31.53,0.522,0.301
G2009,84.65,-0.102,0.796
G2010,494.89,-0.233,0.425
G2011,9.72,1.297,0.0769
G2012,15.69,0.363,0.561
G2013,32.61,0.338,0.499
G2014,26.6,-0.3,0.572
G2015,95.64,0.185,0.63
G2016,106.81,0.155,0.679
G2017,33.81,-0.314,0.526
G2018,34.31,0.193,0.696
G2019,109.39,0.439,0.239
G2020,27.81,0.112,0.831
G2021,182.87,0.542,0.109
G2022,66.95,0.558,0.179
G2023,378.44,-0.054,0.858
G2024,114.72,-0.488,0.186
G2025,122.66,-0.139,0.703
G2026,49.52,0.234,0.601
G2027,340.7,-0.258,0.4
G2028,73.65,0.065,0.873
G2029,1746.79,-0.3,0.245
G2030,613.87,0.304,0.285
G2031,4.15,-0.099,0.922
G2032,72.36,0.201,0.622
G2033,15.77,-0.517,0.407
G2034,314.43,0.452,0.145
G2035,1474.44,-1.208,3.9e-06
G2036,16.23,-0.634,0.304
G2037,639.22,0.084,0.767
G2038,19.4,0.353,0.545
G2039,65.31,-2.78,2.91e-11
G2040,21.3,0.934,0.0993
G2041,70.48,-0.019,0.963
G2042,84.79,0.199,0.613
G2043,281.49,0.064,0.839
G2044,7.06,-0.465,0.572
G2045,32.98,-0.732,0.142
G2046,3.77,0.559,0.592
G2047,8.48,-0.435,0.572
G2048,15.18,0.431,0.494
G2049,82.45,0.295,0.457
G2050,35.68,0.139,0.776
G2051,56.2,-0.466,0.282
G2052,11.14,-0.518,0.459
G2053,97.79,-0.435,0.255
G2054,11.84,-0.439,0.522
G2055,141.78,0.139,0.695
G2056,326.99,-0.468,0.129
G2057,82.82,0.015,0.97
G2058,70.98,0.092,0.822
G2059,110.53,0.258,0.488
G2060,5.1,0.457,0.623
G2061,105.6,0.156,0.678
G2062,12.56,-0.072,0.915
G2063,1071.85,0.195,0.468
G2064,1184.55,-0.166,0.533
G2065,131.78,-0.047,0.896
G2066,10.88,0.703,0.319
G2067,8.35,0.533,0.491
G2068,6.14,0.036,0.967
G2069,1461.5,0.275,0.294
G2070,24.47,-0.847,0.119
G2071,83.39,-0.384,0.331
G2072,93.56,-0.205,0.595
G2073,75.24,0.237,0.558
G2074,53.84,-2.217,4.17e-07
G2075,8193.55,0.316,0.184
G2076,111.16,-0.548,0.14
G2077,188.32,-0.398,0.237
G2078,15.16,0.074,0.907
G2079,8.94,0.168,0.824
G2080,10.38,1.336,0.0623
G2081,535.75,0.067,0.817
G2082,1443.91,0.446,0.0888
G2083,1.45,-0.9,0.561
G2084,222.1,0.453,0.166
G2085,323,0.024,0.938
G2086,78.98,0.281,0.482
G2087,19.44,-0.035,0.952
G2088,230.39,0.108,0.74
G2089,2.3,0.716,0.574
G2090,44.65,0.242,0.598
G2091,232.61,-0.497,0.126
G2092,109.09,0.389,0.297
G2093,13.46,-0.049,0.94
G2094,607.04,-0.115,0.687
G2095,22.48,-0.183,0.743
G2096,132.82,-0.771,0.0317
G2097,103.93,-1.742,3.81e-06
G2098,4.41,-0.713,0.468
G2099,61.58,-0.123,0.772
G2100,142.31,-1.026,0.00376
G2101,2.27,-0.246,0.848
G2102,47.4,0.147,0.745
G2103,1835.47,0.787,0.00223
G2104,0.15,0.122,0.961
G2105,98.14,0.201,0.598
G2106,1042.65,0.238,0.377
G2107,89.06,-0.301,0.44
G2108,75.62,2.066,3.15e-07
G2109,145.44,0.086,0.807
G2110,24.76,0.634,0.242
G2111,343.33,0.079,0.797
G2112,267.8,0.104,0.743
G2113,661.22,-0.448,0.112
G2114,1.29,3.589,0.0276
G2115,1529.33,-0.361,0.166
G2116,29.23,0.491,0.341
G2117,52.07,0.101,0.819
G2118,87.22,0.228,0.56
G2119,50.38,0.021,0.962
G2120,96.68,-0.084,0.826
G2121,9.92,-0.373,0.608
G2122,427.29,0.484,0.104
G2123,1640.69,0.11,0.672
G2124,508.09,0.184,0.527
G2125,22.24,-0.419,0.454
G2126,8.77,-0.965,0.204
G2127,136.98,-0.303,0.396
G2128,123.27,-0.357,0.327
G2129,10.2,-1.039,0.15
G2130,126.91,-0.065,0.858
G2131,15.54,0.344,0.583
G2132,2.17,-0.135,0.918
G2133,31.52,-0.093,0.854
G2134,130.52,0.207,0.565
G2135,67.37,0.272,0.512
G2136,12.64,0.239,0.721
G2137,536.56,-0.337,0.244
G2138,3721.74,-0.057,0.817
G2139,220.7,0.016,0.961
G2140,159.87,-0.152,0.661
G2141,8,-0.315,0.688
G2142,109.33,0.339,0.363
G2143,5.3,-1.576,0.085
G2144,17.08,0.708,0.244
G2145,81.47,-0.043,0.914
G2146,20.21,0.404,0.483
G2147,224.56,0.307,0.347
G2148,555.97,-0.146,0.612
G2149,90.57,-0.346,0.373
G2150,45.56,0.161,0.725
G2151,21.73,0.207,0.713
G2152,670.08,0.298,0.29
G2153,418.77,0.13,0.663
G2154,39.22,-0.561,0.238
G2155,25.19,-0.577,0.284
G2156,4.21,1.484,0.138
G2157,5.78,-0.045,0.959
G2158,11.95,0.195,0.775
G2159,96.94,-0.076,0.843
G2160,158.68,0.67,0.0535
G2161,149.21,0.269,0.443
G2162,3.78,-0.614,0.556
G2163,71.3,-0.237,0.563
G2164,4428.08,0.162,0.507
G2165,6.19,-0.253,0.769
G2166,58.61,0.075,0.861
G2167,46.84,0.545,0.23
G2168,20.73,-3.985,3.08e-12
G2169,8.46,-0.203,0.792
G2170,3424.88,-0.087,0.725
G2171,39.55,-0.243,0.609
G2172,22.18,0.305,0.586
G2173,61.42,0.309,0.466
G2174,57.64,-0.261,0.545
G2175,78.9,0.6,0.134
G2176,101.26,0.217,0.567
G2177,197.39,0.015,0.964
G2178,188.32,-0.568,0.0915
G2179,9.43,0.598,0.42
G2180,189.85,-0.279,0.407
G2181,80.48,-0.83,0.0372
G2182,1426.26,0.125,0.634
G2183,14.79,0.39,0.54
G2184,9.98,-0.806,0.267
G2185,22.18,-0.074,0.895
G2186,4.2,-0.837,0.403
G2187,11.27,-0.988,0.156
G2188,6.45,-1.367,0.108
G2189,107.38,2.389,1.76e-10
G2190,67.75,-0.06,0.885
G2191,22.19,0.143,0.798
G2192,196.13,-0.575,0.0854
G2193,40.01,-1.121,0.0178
G2194,168.08,0.654,0.0569
G2195,49.36,0.067,0.881
G2196,196.48,-1.094,0.00106
G2197,10.26,-0.45,0.532
G2198,10.2,-0.082,0.909
G2199,14.25,0.496,0.441
G2200,24.95,0.626,0.247
G2201,395.91,0.049,0.87
G2202,1725.15,0.058,0.822
G2203,139.78,0.135,0.704
G2204,128.51,-1.752,1.23e-06
G2205,17.04,-1.221,0.0445
G2206,177.35,-0.597,0.0792
G2207,5.04,0.299,0.749
G2208,75.04,-0.164,0.685
G2209,663.95,-0.04,0.887
G2210,303.5,-1.528,9.59e-07
G2211,1.45,1.125,0.468
G2212,19.94,-0.695,0.229
G2213,35.43,1.066,0.0292
G2214,1428.27,0.297,0.258
G2215,1.89,1.235,0.372
G2216,80.08,-0.061,0.878
G2217,32.35,0.369,0.462
G2218,33.31,-0.548,0.27
G2219,17.99,1.72,0.00398
G2220,10.15,-0.214,0.767
G2221,6245.52,-0.184,0.444
G2222,30.4,0.56,0.272
G2223,115.1,-0.022,0.952
G2224,11.78,-0.1,0.884
G2225,9.2,0.665,0.374
G2226,23.36,1.054,0.0558
G2227,162.61,0.233,0.5
G2228,11.84,0.312,0.649
G2229,163.54,-0.227,0.511
G2230,3.45,0.894,0.408
G2231,81.45,0.632,0.112
G2232,76.83,0.385,0.339
G2233,113.47,-0.007,0.985
G2234,22.38,-0.821,0.141
G2235,5.13,0.179,0.847
G2236,462.83,0.184,0.532
G2237,180.46,-0.319,0.347
G2238,20.28,-0.273,0.635
G2239,590.27,0.756,0.00818
G2240,81.67,0.037,0.926
G2241,117.2,0.354,0.336
G2242,134.47,-0.509,0.155
G2243,56.05,0.406,0.349
G2244,190.53,-0.503,0.134
G2245,38.7,0.054,0.91
G2246,177.06,-0.789,0.0204
G2247,1.96,-2.224,0.103
G2248,297.75,0.453,0.147
G2249,34.1,-0.148,0.764
G2250,292.41,-0.833,0.0079
G2251,23.89,0.279,0.61
G2252,328.93,-0.172,0.577
G2253,35.57,0.883,0.0705
G2254,21.43,-0.462,0.414
G2255,203.43,0.623,0.0607
G2256,4.37,0.094,0.924
G2257,12.37,0.05,0.941
G2258,4.2,0.835,0.404
G2259,169.96,-0.532,0.121
G2260,150.75,0.065,0.853
G2261,27.25,-1.088,0.0388
G2262,1.87,-1.862,0.18
G2263,29.89,1.41,0.00595
G2264,148.44,-0.026,0.941
G2265,0.46,1.448,0.56
G2266,28.14,0.143,0.784
G2267,7.23,1.472,0.0709
G2268,51,0.553,0.213
G2269,27.72,-0.336,0.521
G2270,54.06,0.349,0.425
G2271,6.19,-0.693,0.422
G2272,27.49,-1.596,0.00237
G2273,14.32,-0.148,0.818
G2274,60.37,-0.169,0.692
G2275,7.23,-0.064,0.937
G2276,9.73,-1.134,0.122
G2277,1025.95,0.109,0.686
G2278,16.06,0.119,0.848
G2279,43.8,0.179,0.698
G2280,41.22,-0.579,0.217
G2281,201.02,0.091,0.785
G2282,9.76,-0.582,0.427
G2283,265.51,-0.565,0.0758
G2284,35.52,0.952,0.0513
G2285,24.67,0.084,0.877
G2286,18.74,0.085,0.885
G2287,129.37,0.07,0.846
G2288,2.18,-1.641,0.208
G2289,51.32,-0.001,0.998
G2290,106.41,-0.118,0.753
G2291,82.54,-0.039,0.922
G2292,20.49,0.65,0.257
G2293,45.23,-0.533,0.244
G2294,82.24,0.232,0.558
G2295,5.22,1.468,0.111
G2296,23.01,0.381,0.491
G2297,233.26,-0.11,0.735
G2298,128.16,-0.265,0.463
G2299,96.77,0.443,0.247
G2300,16.36,-0.615,0.318
G2301,656.68,0.493,0.0809
G2302,63.09,0.528,0.21
G2303,27.14,0.422,0.423
G2304,9.8,-0.647,0.376
G2305,242.42,-0.125,0.699
G2306,8.19,0.817,0.294
G2307,204.06,-0.233,0.483
G2308,63.93,-0.026,0.951
G2309,145.45,-0.505,0.152
G2310,40.08,-0.138,0.77
G2311,42.53,-1.215,0.00903
G2312,26.84,-0.009,0.986
G2313,583.94,-0.091,0.751
G2314,437.24,-0.57,0.0546
G2315,113.08,-0.322,0.385
G2316,5.97,0.75,0.391
G2317,85.49,-0.108,0.783
G2318,90.25,0.197,0.612
G2319,646.45,-0.121,0.669
G2320,62.7,-0.625,0.139
G2321,14.27,-0.303,0.638
G2322,23.22,0.664,0.229
G2323,33.87,-1.101,0.0261
G2324,85.27,-0.288,0.464
G2325,28.5,-0.446,0.391
G2326,98.34,0.267,0.484
G2327,201.78,-0.385,0.247
G2328,692.36,-0.372,0.185
G2329,9.99,-0.531,0.465
G2330,172.08,0.03,0.93
G2331,31.5,1.364,0.00692
G2332,63.97,0.154,0.714
G2333,102.11,0.028,0.941
G2334,128.11,-0.062,0.864
G2335,71.05,0.693,0.0908
G2336,70.38,0.265,0.519
G2337,16.48,0.969,0.115
G2338,21.52,1.013,0.0729
G2339,37.03,0.808,0.0943
G2340,1756.65,-0.421,0.103
G2341,587.97,0.534,0.0619
G2342,18.93,0.952,0.105
G2343,24.76,-1.932,0.00036
G2344,23.61,0.411,0.454
G2345,125.55,0.12,0.741
G2346,987.97,-0.007,0.979
G2347,68.91,0.611,0.139
G2348,61.54,-0.385,0.364
G2349,15.67,-2.107,0.000737
G2350,607.77,0.181,0.525
G2351,3.99,1.725,0.0911
G2352,90,0,1
G2353,66.37,0.475,0.254
G2354,327.17,-0.131,0.671
G2355,480.45,-0.186,0.526
G2356,5,1.796,0.0549
G2357,41.33,-0.171,0.715
G2358,166.56,0.235,0.494
G2359,81.06,-0.318,0.424
G2360,16.47,0.495,0.42
G2361,382.87,0.393,0.193
G2362,10.82,0.037,0.958
G2363,33.74,-0.138,0.781
G2364,5.96,-0.693,0.429
G2365,15.04,0.195,0.758
G2366,43.22,0.316,0.495
G2367,3.4,0.546,0.616
G2368,65.06,-0.368,0.379
G2369,147.67,0.293,0.405
G2370,46.76,-0.903,0.0467
G2371,160.58,0.274,0.429
G2372,626.59,-0.204,0.472
G2373,1192.21,-0.333,0.211
G2374,61.07,0.144,0.735
G2375,10.75,2.227,0.00166
G2376,116.09,0.341,0.355
G2377,8.84,-0.659,0.385
G2378,478.56,-0.245,0.403
G2379,53.95,-0.867,0.0477
G2380,109.98,0.289,0.438
G2381,35.41,0.273,0.577
G2382,21.04,0.104,0.855
G2383,144.43,0.057,0.872
G2384,47.53,-0.167,0.712
G2385,51,-0.18,0.685
G2386,4.42,-0.439,0.655
G2387,100.12,-0.312,0.411
G2388,311.59,0.143,0.645
G2389,420,-0.101,0.735
G2390,185.71,0.282,0.403
G2391,84.73,-1.734,1.07e-05
G2392,99.62,-0.529,0.164
G2393,2.98,-0.426,0.71
G2394,25.72,0.677,0.206
G2395,23.7,-0.454,0.408
G2396,183.53,0.016,0.962
G2397,24.08,-0.267,0.625
G2398,331.59,0.417,0.176
G2399,78.68,-0.201,0.616
G2400,17.73,-0.191,0.75
G2401,4.03,2.319,0.0226
G2402,17.88,-0.076,0.899
G2403,264.27,-0.007,0.982
G2404,51.42,0.133,0.764
G2405,9.89,1.384,0.0576
G2406,42.93,0.238,0.608
G2407,47.89,0.732,0.105
G2408,646.19,0.499,0.0778
G2409,243.24,-0.155,0.631
G2410,76.1,-0.526,0.192
G2411,7.57,0.035,0.965
G2412,79.72,-0.431,0.28
G2413,63.42,-0.156,0.711
G2414,142.78,0.185,0.601
G2415,74.99,0.641,0.113
G2416,19.34,0.654,0.263
G2417,60.33,0.069,0.871
G2418,587.99,0.139,0.627
G2419,40.42,0.042,0.929
G2420,77.61,-0.244,0.543
G2421,30.3,0.568,0.266
G2422,229.74,0.026,0.936
G2423,0.72,-1.452,0.49
G2424,28.76,0.666,0.199
G2425,3.94,0.569,0.579
G2426,244.26,0.132,0.682
G2427,51.62,0.495,0.264
G2428,2269.23,-0.002,0.994
G2429,14.19,-0.396,0.539
G2430,34.26,0.612,0.215
G2431,14.28,3.021,2.66e-06
G2432,20.84,0.322,0.572
G2433,3.08,-0.172,0.879
G2434,22.33,-0.406,0.467
G2435,617.16,0.158,0.579
G2436,573.26,0.008,0.978
G2437,50,1.217,0.00639
G2438,11.98,-1.181,0.0835
G2439,236.99,0.229,0.48
G2440,189.54,0.324,0.335
G2441,126.22,-0.04,0.912
G2442,16.06,-0.403,0.515
G2443,635.15,-0.027,0.924
G2444,5.56,0.33,0.713
G2445,7.67,0.541,0.498
G2446,926.39,0.154,0.572
G2447,1173.01,-0.053,0.842
G2448,3.89,-0.828,0.422
G2449,12.53,0.269,0.689
G2450,72.54,0.041,0.92
G2451,6.07,1.194,0.17
G2452,136.97,-0.352,0.324
G2453,1.14,1.17,0.496
G2454,13.75,0.164,0.801
G2455,33.39,0.265,0.594
G2456,19.75,-0.115,0.843
G2457,78.45,0.106,0.791
G2458,76.15,-0.155,0.701
G2459,22.25,-0.806,0.149
G2460,241.52,-0.067,0.836
G2461,112.61,-0.186,0.616
G2462,282.34,2.241,1.17e-12
G2463,36.35,-0.813,0.0939
G2464,32.36,0.449,0.37
G2465,238.15,-0.478,0.14
G2466,7.71,1.11,0.163
G2467,7.93,-0.328,0.677
G2468,17.5,-1.078,0.0736
G2469,378.42,0.052,0.863
G2470,173.32,0.367,0.283
G2471,54.21,-0.736,0.0924
G2472,25.81,-0.72,0.178
G2473,24.3,0.713,0.19
G2474,9.25,0.758,0.31
G2475,128.84,0.605,0.0937
G2476,16.24,0.283,0.646
G2477,118.71,-0.168,0.647
G2478,305.51,-0.288,0.355
G2479,394.6,0.13,0.665
G2480,19.16,-0.956,0.103
G2481,571.04,-0.157,0.584
G2482,59.32,-0.29,0.498
G2483,725.02,0.373,0.182
G2484,97.29,0.622,0.104
G2485,0.8,-4.982,0.0131
G2486,208.48,-0.038,0.909
G2487,24.86,-1.223,0.0238
G2488,33.06,0.074,0.882
G2489,80.12,0.258,0.518
G2490,121.63,1.321,0.000296
G2491,113.9,-0.064,0.863
G2492,156.77,-0.414,0.234
G2493,42.96,0.457,0.325
G2494,6.56,-0.055,0.948
G2495,7.86,-1.782,0.0242
G2496,24.19,-0.153,0.779
G2497,87.23,0.178,0.649
G2498,44.6,0.555,0.227
G2499,8.06,0.327,0.676
G2500,6.79,0.949,0.255
G2501,27.47,0.228,0.664
G2502,89.18,0.748,0.0548
G2503,160.05,-0.308,0.374
G2504,1.32,3.982,0.0135
G2505,25.33,0.215,0.689
G2506,26.07,-0.183,0.732
G2507,86.23,-0.587,0.135
G2508,57.39,-0.198,0.646
G2509,145.19,-0.102,0.772
G2510,31.93,-0.851,0.0908
G2511,239.8,0.168,0.603
G2512,40.49,0.047,0.921
G2513,2.27,-1.076,0.401
G2514,82.52,-0.105,0.791
G2515,688.27,-0.195,0.488
G2516,107.42,0.238,0.525
G2517,66.95,-0.105,0.801
G2518,214.13,-0.319,0.333
G2519,576.07,-0.677,0.0182
G2520,38.86,0.303,0.525
G2521,3.92,-0.485,0.637
G2522,6.59,-0.9,0.286
G2523,17.22,-0.194,0.749
G2524,80.44,-1.148,0.00396
G2525,43.19,0.28,0.546
G2526,743.64,0.41,0.141
G2527,2.4,-0.24,0.848
G2528,427.22,-0.322,0.279
G2529,537.21,0.161,0.578
G2530,9.31,-1.117,0.133
G2531,10.21,-0.315,0.662
G2532,205.77,-0.645,0.0517
G2533,12.41,-0.193,0.775
G2534,5.36,0.469,0.607
G2535,626.3,0.029,0.919
G2536,51.24,-0.395,0.373
G2537,0.95,-0.57,0.759
G2538,436.04,0.185,0.533
G2539,28.37,-1.155,0.0265
G2540,20.57,0.085,0.882
G2541,1087.16,0.719,0.00742
G2542,12.03,0.466,0.494
G2543,103.06,0.586,0.121
G2544,10.7,0.546,0.441
G2545,25.37,-0.641,0.233
G2546,129.59,-0.514,0.154
G2547,214.85,0.542,0.0996
G2548,2387.56,-0.34,0.179
G2549,73.65,-0.07,0.863
G2550,14.93,0.415,0.513
G2551,457.94,-0.272,0.356
G2552,14.87,-0.171,0.788
G2553,131.58,0.314,0.382
G2554,812.2,0.012,0.965
G2555,28.12,0.052,0.921
G2556,93.15,-0.445,0.249
G2557,53.45,-0.573,0.192
G2558,7.8,-1.315,0.0972
G2559,43.79,0.09,0.845
G2560,30.91,-0.095,0.852
G2561,311.65,-0.139,0.655
G2562,89.93,0.117,0.763
G2563,2.98,-0.947,0.409
G2564,18.28,-0.38,0.523
G2565,29.27,0.282,0.585
G2566,94.22,-0.21,0.585
G2567,49.81,-0.139,0.756
G2568,283.15,0.581,0.0652
G2569,22.69,0.913,0.101
G2570,474.85,-0.272,0.354
G2571,66.24,1.554,0.000191
G2572,383.55,0.064,0.832
G2573,17.07,1.793,0.00315
G2574,56.21,0.704,0.104
G2575,370.66,-0.17,0.575
G2576,3.43,-1.347,0.214
G2577,145.49,0.158,0.654
G2578,299.62,0.476,0.128
G2579,9.24,-0.467,0.532
G2580,45.42,0.441,0.335
G2581,2.21,-0.326,0.801
G2582,48.72,-0.624,0.165
G2583,234.89,-0.2,0.538
G2584,10.49,-0.945,0.186
G2585,86.84,-1.662,2.2e-05
G2586,180.69,-0.174,0.608
G2587,37.33,-0.106,0.826
G2588,36.66,-0.624,0.198
G2589,175.52,-0.266,0.435
G2590,205.87,0.146,0.66
G2591,213.96,-0.103,0.755
G2592,7.16,-1.041,0.203
G2593,29.54,0.55,0.285
G2594,49.06,0.267,0.552
G2595,644.28,0.239,0.398
G2596,170.62,-0.128,0.709
G2597,54.8,-0.629,0.149
G2598,20.22,-0.115,0.842
G2599,13.11,0.662,0.317
G2600,43.51,0.477,0.302
G2601,37.83,-0.7,0.145
G2602,16.15,-0.002,0.997
G2603,46.85,-0.615,0.175
G2604,54.84,-0.777,0.0748
G2605,19.13,-0.99,0.091
G2606,370.98,0.051,0.866
G2607,70.4,0.512,0.213
G2608,135.9,-0.198,0.579
G2609,70.83,0.695,0.0901
G2610,354.51,-0.71,0.0199
G2611,42.42,-0.254,0.585
G2612,10.77,0.087,0.902
G2613,99.91,-0.495,0.193
G2614,59.04,-0.181,0.673
G2615,1371.1,0.198,0.452
G2616,158.45,-0.396,0.254
G2617,31.8,0.977,0.0524
G2618,3.04,1.171,0.303
G2619,264.47,0.179,0.574
G2620,21.52,-0.991,0.0794
G2621,12.41,0.843,0.211
G2622,12.14,-0.903,0.184
G2623,119.41,0.452,0.217
G2624,7.41,1.204,0.136
G2625,11.01,-0.602,0.391
G2626,0.75,-0.647,0.754
G2627,18.15,0.344,0.564
G2628,74.3,0.033,0.935
G2629,11.49,-0.485,0.483
G2630,247.49,0.177,0.582
G2631,88.71,0.004,0.992
G2632,123.96,-0.173,0.634
G2633,7.32,-0.137,0.866
G2634,11.28,0.76,0.275
G2635,99.75,-0.431,0.257
G2636,322.41,-0.407,0.188
G2637,169.43,-0.301,0.38
G2638,81.37,0.055,0.89
G2639,23.91,-0.052,0.924
G2640,208.99,-0.008,0.981
G2641,381.2,0.363,0.229
G2642,137.08,0.687,0.0541
G2643,145.64,-0.349,0.322
G2644,161.23,-0.33,0.34
G2645,153.56,0.297,0.395
G2646,21,-0.536,0.346
G2647,658.83,0.02,0.944
G2648,12.61,0.699,0.297
G2649,3.09,-1.15,0.309
G2650,16.27,-0.352,0.568
G2651,69.32,0.569,0.167
G2652,23.65,-0.78,0.155
G2653,104.49,-0.378,0.315
G2654,21.35,0.745,0.188
G2655,63.02,0.53,0.209
G2656,1.7,-0.015,0.992
G2657,700.48,-0.067,0.811
G2658,379.74,-0.185,0.54
G2659,2.37,-0.05,0.968
G2660,37.71,0.412,0.391
G2661,127.89,-0.592,0.101
G2662,57.51,0.459,0.287
G2663,3497.49,-0.108,0.662
G2664,135.81,-0.462,0.196
G2665,765.31,0.121,0.663
G2666,255.35,0.121,0.705
G2667,15.6,-0.763,0.222
G2668,33.94,-0.036,0.942
G2669,206.43,0.098,0.767
G2670,8.75,-0.33,0.665
G2671,46.75,0.27,0.552
G2672,300.24,0.239,0.444
G2673,61.13,0.166,0.696
G2674,147.26,-0.016,0.964
G2675,463.15,0.274,0.352
G2676,9.59,0.025,0.973
G2677,15.77,0.496,0.426
G2678,843.33,0.049,0.859
G2679,62.09,-0.274,0.517
G2680,57.18,0.241,0.577
G2681,63.93,0.946,0.0243
G2682,4.31,0.755,0.446
G2683,409.9,-0.327,0.274
G2684,6.21,0.865,0.316
G2685,517.19,-0.47,0.106
G2686,144.06,0.665,0.0598
G2687,99.75,0.131,0.73
G2688,35.66,-1.857,0.000141
G2689,18.38,1.159,0.0507
G2690,2008.96,-0.081,0.751
G2691,47.43,0.057,0.9
G2692,17.42,1.21,0.0449
G2693,71.09,2.687,5.47e-11
G2694,189.26,-0.63,0.061
G2695,101.79,0.188,0.619
G2696,189.59,-0.43,0.201
G2697,13.93,-0.453,0.485
G2698,8.33,-0.431,0.578
G2699,10.68,0.617,0.385
G2700,16.36,0.485,0.431
G2701,644.49,-0.22,0.437
G2702,50.22,-0.37,0.407
G2703,101.4,0.345,0.363
G2704,1322.05,0.08,0.762
G2705,15.85,0.242,0.697
G2706,32.3,-0.099,0.844
G2707,216.28,0.251,0.445
G2708,48.84,0.202,0.653
G2709,332.91,-0.173,0.574
G2710,404,-2.499,1e-12
G2711,22.15,-0.136,0.808
G2712,395.23,0.118,0.695
G2713,55.32,-0.794,0.068
G2714,14.47,-0.499,0.436
G2715,13.54,0.229,0.727
G2716,32.97,-0.122,0.807
G2717,107.34,-0.145,0.699
G2718,20.92,-0.493,0.387
G2719,18.69,-0.776,0.188
G2720,422.46,1.026,0.000572
G2721,72.38,-0.383,0.348
G2722,6.25,-0.848,0.324
G2723,213.24,-0.417,0.206
G2724,12.56,0.328,0.625
G2725,32.69,-1.125,0.0244
G2726,202.13,0.313,0.347
G2727,35.09,-0.444,0.365
G2728,111.4,-0.552,0.137
G2729,16.94,-0.567,0.352
G2730,98.4,0.022,0.954
G2731,253.09,0.038,0.906
G2732,60.02,0.025,0.953
G2733,58.34,-0.393,0.36
G2734,439.34,2.056,3.97e-12
G2735,76.23,0.633,0.116
G2736,4.17,2.558,0.0108
G2737,16.88,-0.377,0.536
G2738,249.28,0.465,0.148
G2739,17.96,0.48,0.422
G2740,327.28,0.888,0.00399
G2741,120.51,-0.343,0.348
G2742,2.31,-0.937,0.462
G2743,295.03,0.2,0.523
G2744,172.71,0.362,0.289
G2745,935.28,0.274,0.314
G2746,25.87,-0.353,0.509
G2747,196.64,-0.049,0.883
G2748,1.52,0.104,0.945
G2749,70.83,0.465,0.257
G2750,9.79,0.298,0.684
G2751,115.35,-0.581,0.115
G2752,436.13,0.058,0.845
G2753,36.96,-0.255,0.598
G2754,27.38,-0.304,0.563
G2755,41.54,-0.078,0.868
G2756,138.28,-0.543,0.127
G2757,592.08,0.544,0.0569
G2758,45.84,-0.11,0.81
G2759,35.38,-0.262,0.592
G2760,221.14,0.405,0.216
G2761,362.3,0.045,0.882
G2762,20.17,0.201,0.727
G2763,180.7,0.203,0.549
G2764,122.39,-0.425,0.244
G2765,94.06,-0.133,0.73
G2766,312.45,-0.163,0.6
G2767,11.57,-0.185,0.789
G2768,219.04,-0.596,0.0693
G2769,6.53,-0.634,0.454
G2770,3,0.523,0.647
G2771,9.37,0.061,0.935
G2772,22.87,0.975,0.0787
G2773,423.2,-1.133,0.000142
G2774,16866.52,0.19,0.413
G2775,776.25,0.653,0.0186
G2776,5512.59,0.147,0.543
G2777,432.94,-0.166,0.576
G2778,9.22,0.532,0.476
G2779,20.49,0.417,0.467
G2780,45.07,0.469,0.306
G2781,429.54,-0.302,0.31
G2782,57.49,0.002,0.996
G2783,847.68,-0.058,0.833
G2784,71.84,0.546,0.182
G2785,266.48,-0.162,0.61
G2786,247.28,0.163,0.612
G2787,28.98,-0.164,0.751
G2788,13.06,0.016,0.981
G2789,201.3,0.566,0.089
G2790,1774.92,-0.06,0.816
G2791,626.39,2.173,1e-12
G2792,98.75,0.129,0.735
G2793,17.86,0.16,0.789
G2794,41.04,-0.223,0.635
G2795,14.84,-1.194,0.0602
G2796,107.63,-0.209,0.577
G2797,39.3,0.004,0.993
G2798,9.23,0.039,0.958
G2799,5.83,-0.375,0.671
G2800,119.77,0.416,0.256
G2801,98.72,-0.558,0.143
G2802,7.51,0.007,0.993
G2803,25.61,0.363,0.498
G2804,24.99,-0.122,0.821
G2805,140.5,0.739,0.0374
G2806,211.09,-0.108,0.744
G2807,31.12,0.063,0.901
G2808,360.03,0.781,0.0103
G2809,207.61,-0.044,0.894
G2810,7.15,-1.477,0.0711
G2811,890.03,-0.179,0.513
G2812,20.45,-0.737,0.199
G2813,9.13,1.126,0.133
G2814,78.2,0.294,0.463
G2815,732.18,-0.325,0.244
G2816,5.22,-1.508,0.101
G2817,711.32,-0.055,0.844
G2818,30.19,-0.338,0.508
G2819,884.31,-0.054,0.844
G2820,8.07,0.355,0.65
G2821,1075.19,0.14,0.602
G2822,129.51,-0.828,0.0217
G2823,2.18,-0.557,0.669
G2824,5.16,0.083,0.928
G2825,25.82,0.162,0.762
G2826,50.63,-0.576,0.195
G2827,2.25,-0.116,0.928
G2828,197.55,-0.401,0.23
