"genome","family","present","compartment"
"G01","F051",0,"cloud"
"G02","F051",1,"cloud"
"G03","F051",0,"cloud"
"G04","F051",0,"cloud"
"G05","F051",0,"cloud"
"G06","F051",0,"cloud"
"G07","F051",0,"cloud"
"G08","F051",0,"cloud"
"G09","F051",1,"cloud"
"G10","F051",0,"cloud"
"G11","F051",0,"cloud"
"G12","F051",0,"cloud"
"G13","F051",0,"cloud"
"G14","F051",0,"cloud"
"G15","F051",0,"cloud"
"G16","F051",1,"cloud"
"G17","F051",0,"cloud"
"G18","F051",1,"cloud"
"G19","F051",1,"cloud"
"G20","F051",1,"cloud"
"G01","F052",0,"cloud"
"G02","F052",0,"cloud"
"G03","F052",0,"cloud"
"G04","F052",0,"cloud"
"G05","F052",1,"cloud"
"G06","F052",1,"cloud"
"G07","F052",0,"cloud"
"G08","F052",0,"cloud"
"G09","F052",1,"cloud"
"G10","F052",0,"cloud"
"G11","F052",0,"cloud"
"G12","F052",0,"cloud"
"G13","F052",0,"cloud"
"G14","F052",0,"cloud"
"G15","F052",0,"cloud"
"G16","F052",0,"cloud"
"G17","F052",0,"cloud"
"G18","F052",0,"cloud"
"G19","F052",0,"cloud"
"G20","F052",1,"cloud"
"G01","F053",1,"shell"
"G02","F053",0,"shell"
"G03","F053",1,"shell"
"G04","F053",1,"shell"
"G05","F053",1,"shell"
"G06","F053",0,"shell"
"G07","F053",0,"shell"
"G08","F053",0,"shell"
"G09","F053",0,"shell"
"G10","F053",0,"shell"
"G11","F053",0,"shell"
"G12","F053",0,"shell"
"G13","F053",0,"shell"
"G14","F053",0,"shell"
"G15","F053",1,"shell"
"G16","F053",0,"shell"
"G17","F053",0,"shell"
"G18","F053",1,"shell"
"G19","F053",0,"shell"
"G20","F053",0,"shell"
"G01","F054",0,"cloud"
"G02","F054",0,"cloud"
"G03","F054",0,"cloud"
"G04","F054",0,"cloud"
"G05","F054",0,"cloud"
"G06","F054",1,"cloud"
"G07","F054",0,"cloud"
"G08","F054",1,"cloud"
"G09","F054",0,"cloud"
"G10","F054",0,"cloud"
"G11","F054",0,"cloud"
"G12","F054",1,"cloud"
"G13","F054",0,"cloud"
"G14","F054",0,"cloud"
"G15","F054",0,"cloud"
"G16","F054",0,"cloud"
"G17","F054",0,"cloud"
"G18","F054",1,"cloud"
"G19","F054",0,"cloud"
"G20","F054",0,"cloud"
"G01","F055",0,"shell"
"G02","F055",0,"shell"
"G03","F055",0,"shell"
"G04","F055",1,"shell"
"G05","F055",0,"shell"
"G06","F055",0,"shell"
"G07","F055",0,"shell"
"G08","F055",0,"shell"
"G09","F055",0,"shell"
"G10","F055",0,"shell"
"G11","F055",0,"shell"
"G12","F055",1,"shell"
"G13","F055",0,"shell"
"G14","F055",0,"shell"
"G15","F055",0,"shell"
"G16","F055",1,"shell"
"G17","F055",1,"shell"
"G18","F055",1,"shell"
"G19","F055",1,"shell"
"G20","F055",1,"shell"
"G01","F056",0,"shell"
"G02","F056",0,"shell"
"G03","F056",0,"shell"
"G04","F056",0,"shell"
"G05","F056",0,"shell"
"G06","F056",0,"shell"
"G07","F056",0,"shell"
"G08","F056",0,"shell"
"G09","F056",0,"shell"
"G10","F056",0,"shell"
"G11","F056",1,"shell"
"G12","F056",1,"shell"
"G13","F056",1,"shell"
"G14","F056",1,"shell"
"G15","F056",1,"shell"
"G16","F056",0,"shell"
"G17","F056",0,"shell"
"G18","F056",0,"shell"
"G19","F056",0,"shell"
"G20","F056",0,"shell"
"G01","F057",1,"core"
"G02","F057",1,"core"
"G03","F057",1,"core"
"G04","F057",1,"core"
"G05","F057",1,"core"
"G06","F057",1,"core"
"G07","F057",0,"core"
"G08","F057",1,"core"
"G09","F057",1,"core"
"G10","F057",0,"core"
"G11","F057",1,"core"
"G12","F057",1,"core"
"G13","F057",1,"core"
"G14","F057",1,"core"
"G15","F057",1,"core"
"G16","F057",1,"core"
"G17","F057",1,"core"
"G18","F057",1,"core"
"G19","F057",1,"core"
"G20","F057",1,"core"
"G01","F058",0,"cloud"
"G02","F058",0,"cloud"
"G03","F058",0,"cloud"
"G04","F058",0,"cloud"
"G05","F058",0,"cloud"
"G06","F058",0,"cloud"
"G07","F058",0,"cloud"
"G08","F058",1,"cloud"
"G09","F058",1,"cloud"
"G10","F058",1,"cloud"
"G11","F058",0,"cloud"
"G12","F058",0,"cloud"
"G13","F058",0,"cloud"
"G14","F058",0,"cloud"
"G15","F058",0,"cloud"
"G16","F058",0,"cloud"
"G17","F058",0,"cloud"
"G18","F058",0,"cloud"
"G19","F058",0,"cloud"
"G20","F058",0,"cloud"
"G01","F059",1,"core"
"G02","F059",1,"core"
"G03","F059",1,"core"
"G04","F059",1,"core"
"G05","F059",1,"core"
"G06","F059",1,"core"
"G07","F059",0,"core"
"G08","F059",1,"core"
"G09","F059",0,"core"
"G10","F059",1,"core"
"G11","F059",1,"core"
"G12","F059",1,"core"
"G13","F059",1,"core"
"G14","F059",1,"core"
"G15","F059",1,"core"
"G16","F059",1,"core"
"G17","F059",1,"core"
"G18","F059",1,"core"
"G19","F059",0,"core"
"G20","F059",1,"core"
"G01","F060",0,"cloud"
"G02","F060",0,"cloud"
"G03","F060",0,"cloud"
"G04","F060",0,"cloud"
"G05","F060",0,"cloud"
"G06","F060",1,"cloud"
"G07","F060",0,"cloud"
"G08","F060",0,"cloud"
"G09","F060",0,"cloud"
"G10","F060",0,"cloud"
"G11","F060",1,"cloud"
"G12","F060",1,"cloud"
"G13","F060",1,"cloud"
"G14","F060",0,"cloud"
"G15","F060",1,"cloud"
"G16","F060",0,"cloud"
"G17","F060",0,"cloud"
"G18","F060",0,"cloud"
"G19","F060",0,"cloud"
"G20","F060",0,"cloud"
"G01","F061",0,"shell"
"G02","F061",0,"shell"
"G03","F061",0,"shell"
"G04","F061",0,"shell"
"G05","F061",0,"shell"
"G06","F061",0,"shell"
"G07","F061",0,"shell"
"G08","F061",0,"shell"
"G09","F061",1,"shell"
"G10","F061",0,"shell"
"G11","F061",1,"shell"
"G12","F061",0,"shell"
"G13","F061",1,"shell"
"G14","F061",0,"shell"
"G15","F061",1,"shell"
"G16","F061",0,"shell"
"G17","F061",0,"shell"
"G18","F061",0,"shell"
"G19","F061",0,"shell"
"G20","F061",0,"shell"
"G01","F062",1,"core"
"G02","F062",1,"core"
"G03","F062",1,"core"
"G04","F062",1,"core"
"G05","F062",1,"core"
"G06","F062",1,"core"
"G07","F062",1,"core"
"G08","F062",1,"core"
"G09","F062",1,"core"
"G10","F062",1,"core"
"G11","F062",1,"core"
"G12","F062",1,"core"
"G13","F062",1,"core"
"G14","F062",1,"core"
"G15","F062",1,"core"
"G16","F062",1,"core"
"G17","F062",0,"core"
"G18","F062",1,"core"
"G19","F062",1,"core"
"G20","F062",1,"core"
"G01","F063",0,"shell"
"G02","F063",0,"shell"
"G03","F063",1,"shell"
"G04","F063",0,"shell"
"G05","F063",0,"shell"
"G06","F063",1,"shell"
"G07","F063",0,"shell"
"G08","F063",1,"shell"
"G09","F063",0,"shell"
"G10","F063",1,"shell"
"G11","F063",1,"shell"
"G12","F063",0,"shell"
"G13","F063",0,"shell"
"G14","F063",0,"shell"
"G15","F063",1,"shell"
"G16","F063",1,"shell"
"G17","F063",0,"shell"
"G18","F063",0,"shell"
"G19","F063",0,"shell"
"G20","F063",0,"shell"
"G01","F064",1,"core"
"G02","F064",1,"core"
"G03","F064",1,"core"
"G04","F064",0,"core"
"G05","F064",1,"core"
"G06","F064",0,"core"
"G07","F064",1,"core"
"G08","F064",1,"core"
"G09","F064",1,"core"
"G10","F064",1,"core"
"G11","F064",1,"core"
"G12","F064",1,"core"
"G13","F064",1,"core"
"G14","F064",1,"core"
"G15","F064",1,"core"
"G16","F064",1,"core"
"G17","F064",1,"core"
"G18","F064",1,"core"
"G19","F064",1,"core"
"G20","F064",1,"core"
"G01","F065",0,"cloud"
"G02","F065",1,"cloud"
"G03","F065",0,"cloud"
"G04","F065",1,"cloud"
"G05","F065",0,"cloud"
"G06","F065",0,"cloud"
"G07","F065",1,"cloud"
"G08","F065",0,"cloud"
"G09","F065",0,"cloud"
"G10","F065",0,"cloud"
"G11","F065",0,"cloud"
"G12","F065",0,"cloud"
"G13","F065",0,"cloud"
"G14","F065",0,"cloud"
"G15","F065",0,"cloud"
"G16","F065",0,"cloud"
"G17","F065",0,"cloud"
"G18","F065",0,"cloud"
"G19","F065",1,"cloud"
"G20","F065",0,"cloud"
"G01","F066",1,"shell"
"G02","F066",1,"shell"
"G03","F066",0,"shell"
"G04","F066",0,"shell"
"G05","F066",0,"shell"
"G06","F066",0,"shell"
"G07","F066",0,"shell"
"G08","F066",0,"shell"
"G09","F066",0,"shell"
"G10","F066",0,"shell"
"G11","F066",1,"shell"
"G12","F066",1,"shell"
"G13","F066",1,"shell"
"G14","F066",1,"shell"
"G15","F066",1,"shell"
"G16","F066",0,"shell"
"G17","F066",0,"shell"
"G18","F066",0,"shell"
"G19","F066",0,"shell"
"G20","F066",0,"shell"
"G01","F067",1,"core"
"G02","F067",1,"core"
"G03","F067",1,"core"
"G04","F067",1,"core"
"G05","F067",1,"core"
"G06","F067",1,"core"
"G07","F067",1,"core"
"G08","F067",1,"core"
"G09","F067",1,"core"
"G10","F067",1,"core"
"G11","F067",1,"core"
"G12","F067",1,"core"
"G13","F067",0,"core"
"G14","F067",1,"core"
"G15","F067",1,"core"
"G16","F067",1,"core"
"G17","F067",1,"core"
"G18","F067",1,"core"
"G19","F067",1,"core"
"G20","F067",1,"core"
"G01","F068",1,"core"
"G02","F068",1,"core"
"G03","F068",1,"core"
"G04","F068",1,"core"
"G05","F068",1,"core"
"G06","F068",1,"core"
"G07","F068",1,"core"
"G08","F068",1,"core"
"G09","F068",0,"core"
"G10","F068",1,"core"
"G11","F068",0,"core"
"G12","F068",0,"core"
"G13","F068",1,"core"
"G14","F068",1,"core"
"G15","F068",1,"core"
"G16","F068",1,"core"
"G17","F068",1,"core"
"G18","F068",1,"core"
"G19","F068",1,"core"
"G20","F068",1,"core"
"G01","F069",1,"shell"
"G02","F069",0,"shell"
"G03","F069",1,"shell"
"G04","F069",0,"shell"
"G05","F069",0,"shell"
"G06","F069",1,"shell"
"G07","F069",0,"shell"
"G08","F069",1,"shell"
"G09","F069",1,"shell"
"G10","F069",1,"shell"
"G11","F069",0,"shell"
"G12","F069",0,"shell"
"G13","F069",0,"shell"
"G14","F069",0,"shell"
"G15","F069",1,"shell"
"G16","F069",0,"shell"
"G17","F069",0,"shell"
"G18","F069",0,"shell"
"G19","F069",0,"shell"
"G20","F069",0,"shell"
"G01","F070",0,"cloud"
"G02","F070",0,"cloud"
"G03","F070",0,"cloud"
"G04","F070",0,"cloud"
"G05","F070",0,"cloud"
"G06","F070",0,"cloud"
"G07","F070",0,"cloud"
"G08","F070",0,"cloud"
"G09","F070",0,"cloud"
"G10","F070",0,"cloud"
"G11","F070",0,"cloud"
"G12","F070",0,"cloud"
"G13","F070",0,"cloud"
"G14","F070",0,"cloud"
"G15","F070",0,"cloud"
"G16","F070",0,"cloud"
"G17","F070",0,"cloud"
"G18","F070",0,"cloud"
"G19","F070",0,"cloud"
"G20","F070",0,"cloud"
"G01","F071",1,"shell"
"G02","F071",0,"shell"
"G03","F071",1,"shell"
"G04","F071",0,"shell"
"G05","F071",1,"shell"
"G06","F071",1,"shell"
"G07","F071",1,"shell"
"G08","F071",0,"shell"
"G09","F071",0,"shell"
"G10","F071",0,"shell"
"G11","F071",1,"shell"
"G12","F071",1,"shell"
"G13","F071",1,"shell"
"G14","F071",1,"shell"
"G15","F071",0,"shell"
"G16","F071",0,"shell"
"G17","F071",1,"shell"
"G18","F071",1,"shell"
"G19","F071",1,"shell"
"G20","F071",0,"shell"
"G01","F072",1,"core"
"G02","F072",0,"core"
"G03","F072",1,"core"
"G04","F072",1,"core"
"G05","F072",1,"core"
"G06","F072",0,"core"
"G07","F072",1,"core"
"G08","F072",0,"core"
"G09","F072",1,"core"
"G10","F072",1,"core"
"G11","F072",1,"core"
"G12","F072",1,"core"
"G13","F072",1,"core"
"G14","F072",1,"core"
"G15","F072",1,"core"
"G16","F072",1,"core"
"G17","F072",1,"core"
"G18","F072",1,"core"
"G19","F072",1,"core"
"G20","F072",1,"core"
"G01","F073",0,"core"
"G02","F073",0,"core"
"G03","F073",1,"core"
"G04","F073",1,"core"
"G05","F073",1,"core"
"G06","F073",1,"core"
"G07","F073",0,"core"
"G08","F073",1,"core"
"G09","F073",1,"core"
"G10","F073",1,"core"
"G11","F073",1,"core"
"G12","F073",1,"core"
"G13","F073",1,"core"
"G14","F073",1,"core"
"G15","F073",1,"core"
"G16","F073",1,"core"
"G17","F073",1,"core"
"G18","F073",1,"core"
"G19","F073",1,"core"
"G20","F073",1,"core"
"G01","F074",1,"shell"
"G02","F074",0,"shell"
"G03","F074",0,"shell"
"G04","F074",0,"shell"
"G05","F074",0,"shell"
"G06","F074",0,"shell"
"G07","F074",0,"shell"
"G08","F074",1,"shell"
"G09","F074",0,"shell"
"G10","F074",1,"shell"
"G11","F074",1,"shell"
"G12","F074",1,"shell"
"G13","F074",1,"shell"
"G14","F074",0,"shell"
"G15","F074",1,"shell"
"G16","F074",0,"shell"
"G17","F074",0,"shell"
"G18","F074",0,"shell"
"G19","F074",0,"shell"
"G20","F074",1,"shell"
"G01","F075",0,"cloud"
"G02","F075",0,"cloud"
"G03","F075",0,"cloud"
"G04","F075",0,"cloud"
"G05","F075",0,"cloud"
"G06","F075",0,"cloud"
"G07","F075",0,"cloud"
"G08","F075",0,"cloud"
"G09","F075",0,"cloud"
"G10","F075",0,"cloud"
"G11","F075",0,"cloud"
"G12","F075",1,"cloud"
"G13","F075",0,"cloud"
"G14","F075",0,"cloud"
"G15","F075",0,"cloud"
"G16","F075",1,"cloud"
"G17","F075",0,"cloud"
"G18","F075",0,"cloud"
"G19","F075",0,"cloud"
"G20","F075",1,"cloud"
"G01","F076",0,"cloud"
"G02","F076",0,"cloud"
"G03","F076",0,"cloud"
"G04","F076",0,"cloud"
"G05","F076",0,"cloud"
"G06","F076",1,"cloud"
"G07","F076",0,"cloud"
"G08","F076",1,"cloud"
"G09","F076",0,"cloud"
"G10","F076",0,"cloud"
"G11","F076",0,"cloud"
"G12","F076",0,"cloud"
"G13","F076",0,"cloud"
"G14","F076",0,"cloud"
"G15","F076",0,"cloud"
"G16","F076",0,"cloud"
"G17","F076",0,"cloud"
"G18","F076",0,"cloud"
"G19","F076",0,"cloud"
"G20","F076",0,"cloud"
"G01","F077",0,"shell"
"G02","F077",1,"shell"
"G03","F077",0,"shell"
"G04","F077",0,"shell"
"G05","F077",0,"shell"
"G06","F077",1,"shell"
"G07","F077",1,"shell"
"G08","F077",1,"shell"
"G09","F077",1,"shell"
"G10","F077",1,"shell"
"G11","F077",0,"shell"
"G12","F077",0,"shell"
"G13","F077",1,"shell"
"G14","F077",0,"shell"
"G15","F077",0,"shell"
"G16","F077",0,"shell"
"G17","F077",1,"shell"
"G18","F077",0,"shell"
"G19","F077",0,"shell"
"G20","F077",0,"shell"
"G01","F078",0,"cloud"
"G02","F078",0,"cloud"
"G03","F078",0,"cloud"
"G04","F078",0,"cloud"
"G05","F078",0,"cloud"
"G06","F078",0,"cloud"
"G07","F078",0,"cloud"
"G08","F078",1,"cloud"
"G09","F078",0,"cloud"
"G10","F078",0,"cloud"
"G11","F078",0,"cloud"
"G12","F078",0,"cloud"
"G13","F078",0,"cloud"
"G14","F078",0,"cloud"
"G15","F078",0,"cloud"
"G16","F078",0,"cloud"
"G17","F078",1,"cloud"
"G18","F078",0,"cloud"
"G19","F078",0,"cloud"
"G20","F078",1,"cloud"
"G01","F079",0,"cloud"
"G02","F079",1,"cloud"
"G03","F079",0,"cloud"
"G04","F079",0,"cloud"
"G05","F079",0,"cloud"
"G06","F079",1,"cloud"
"G07","F079",1,"cloud"
"G08","F079",1,"cloud"
"G09","F079",1,"cloud"
"G10","F079",1,"cloud"
"G11","F079",0,"cloud"
"G12","F079",0,"cloud"
"G13","F079",0,"cloud"
"G14","F079",0,"cloud"
"G15","F079",1,"cloud"
"G16","F079",0,"cloud"
"G17","F079",0,"cloud"
"G18","F079",0,"cloud"
"G19","F079",0,"cloud"
"G20","F079",0,"cloud"
"G01","F080",1,"cloud"
"G02","F080",1,"cloud"
"G03","F080",1,"cloud"
"G04","F080",0,"cloud"
"G05","F080",1,"cloud"
"G06","F080",0,"cloud"
"G07","F080",0,"cloud"
"G08","F080",0,"cloud"
"G09","F080",0,"cloud"
"G10","F080",0,"cloud"
"G11","F080",0,"cloud"
"G12","F080",0,"cloud"
"G13","F080",0,"cloud"
"G14","F080",0,"cloud"
"G15","F080",0,"cloud"
"G16","F080",0,"cloud"
"G17","F080",0,"cloud"
"G18","F080",0,"cloud"
"G19","F080",0,"cloud"
"G20","F080",0,"cloud"
