"genome","te_class","divergence","fraction"
"1.2 Gb","Helitron",12,0.002469
"1.2 Gb","Helitron",13,0.002122
"1.2 Gb","Helitron",14,0.001999
"1.2 Gb","Helitron",15,0.001696
"1.2 Gb","Helitron",16,0.001232
"1.2 Gb","Helitron",17,0.001028
"1.2 Gb","Helitron",18,0.000806
"1.2 Gb","Helitron",19,0.000553
"1.2 Gb","Helitron",20,0.000372
"1.2 Gb","Helitron",21,0.000257
"1.2 Gb","Helitron",22,0.000153
"1.2 Gb","Helitron",23,9e-05
"1.2 Gb","Helitron",24,5.3e-05
"1.2 Gb","Helitron",25,3e-05
"1.2 Gb","Helitron",26,1.6e-05
"1.2 Gb","Helitron",27,8e-06
"1.2 Gb","Helitron",28,4e-06
"1.2 Gb","Helitron",29,2e-06
"2.3 Gb","Gypsy",0,0.00192
"2.3 Gb","Gypsy",1,0.007545
"2.3 Gb","Gypsy",2,0.022018
"2.3 Gb","Gypsy",3,0.041153
"2.3 Gb","Gypsy",4,0.060977
"2.3 Gb","Gypsy",5,0.056415
"2.3 Gb","Gypsy",6,0.044769
"2.3 Gb","Gypsy",7,0.024141
"2.3 Gb","Gypsy",8,0.01207
"2.3 Gb","Gypsy",9,0.009087
"2.3 Gb","Gypsy",10,0.011007
"2.3 Gb","Gypsy",11,0.013194
"2.3 Gb","Gypsy",12,0.016568
"2.3 Gb","Gypsy",13,0.017953
"2.3 Gb","Gypsy",14,0.019644
"2.3 Gb","Gypsy",15,0.019217
"2.3 Gb","Gypsy",16,0.02074
"2.3 Gb","Gypsy",17,0.018777
"2.3 Gb","Gypsy",18,0.016652
"2.3 Gb","Gypsy",19,0.014077
"2.3 Gb","Gypsy",20,0.009931
"2.3 Gb","Gypsy",21,0.007844
"2.3 Gb","Gypsy",22,0.00506
"2.3 Gb","Gypsy",23,0.003463
"2.3 Gb","Gypsy",24,0.002101
"2.3 Gb","Gypsy",25,0.001271
"2.3 Gb","Gypsy",26,0.000629
"2.3 Gb","Gypsy",27,0.000324
"2.3 Gb","Gypsy",28,0.000175
"2.3 Gb","Gypsy",29,7.7e-05
"2.3 Gb","Copia",0,0.004394
"2.3 Gb","Copia",1,0.011923
"2.3 Gb","Copia",2,0.019676
"2.3 Gb","Copia",3,0.020485
"2.3 Gb","Copia",4,0.012296
"2.3 Gb","Copia",5,0.005575
"2.3 Gb","Copia",6,0.00227
"2.3 Gb","Copia",7,0.002077
"2.3 Gb","Copia",8,0.002544
"2.3 Gb","Copia",9,0.003257
"2.3 Gb","Copia",10,0.003524
"2.3 Gb","Copia",11,0.003601
"2.3 Gb","Copia",12,0.003604
"2.3 Gb","Copia",13,0.00335
"2.3 Gb","Copia",14,0.002595
"2.3 Gb","Copia",15,0.001953
"2.3 Gb","Copia",16,0.001331
"2.3 Gb","Copia",17,0.00088
"2.3 Gb","Copia",18,0.000536
"2.3 Gb","Copia",19,0.000288
"2.3 Gb","Copia",20,0.000138
"2.3 Gb","Copia",21,6e-05
"2.3 Gb","Copia",22,2.5e-05
"2.3 Gb","Copia",23,1e-05
"2.3 Gb","Copia",24,4e-06
"2.3 Gb","Copia",25,1e-06
"2.3 Gb","Copia",26,0
"2.3 Gb","Copia",27,0
"2.3 Gb","Copia",28,0
"2.3 Gb","Copia",29,0
"2.3 Gb","LINE",0,4.6e-05
"2.3 Gb","LINE",1,7.4e-05
"2.3 Gb","LINE",2,0.000109
"2.3 Gb","LINE",3,0.000192
"2.3 Gb","LINE",4,0.000267
"2.3 Gb","LINE",5,0.000405
"2.3 Gb","LINE",6,0.000592
"2.3 Gb","LINE",7,0.000774
"2.3 Gb","LINE",8,0.001037
"2.3 Gb","LINE",9,0.001316
"2.3 Gb","LINE",10,0.001749
"2.3 Gb","LINE",11,0.002258
"2.3 Gb","LINE",12,0.002534
"2.3 Gb","LINE",13,0.002885
"2.3 Gb","LINE",14,0.003437
"2.3 Gb","LINE",15,0.003491
"2.3 Gb","LINE",16,0.003921
"2.3 Gb","LINE",17,0.004062
"2.3 Gb","LINE",18,0.00455
"2.3 Gb","LINE",19,0.004167
"2.3 Gb","LINE",20,0.003538
"2.3 Gb","LINE",21,0.003694
"2.3 Gb","LINE",22,0.003308
"2.3 Gb","LINE",23,0.002809
"2.3 Gb","LINE",24,0.002565
"2.3 Gb","LINE",25,0.002146
"2.3 Gb","LINE",26,0.001687
"2.3 Gb","LINE",27,0.00136
"2.3 Gb","LINE",28,0.001042
"2.3 Gb","LINE",29,0.000785
"2.3 Gb","TIR",0,0.000163
"2.3 Gb","TIR",1,0.000522
"2.3 Gb","TIR",2,0.001249
"2.3 Gb","TIR",3,0.002734
"2.3 Gb","TIR",4,0.004629
"2.3 Gb","TIR",5,0.006146
"2.3 Gb","TIR",6,0.007045
"2.3 Gb","TIR",7,0.007538
"2.3 Gb","TIR",8,0.005941
"2.3 Gb","TIR",9,0.005219
"2.3 Gb","TIR",10,0.004896
"2.3 Gb","TIR",11,0.004858
"2.3 Gb","TIR",12,0.005418
"2.3 Gb","TIR",13,0.005083
"2.3 Gb","TIR",14,0.00458
"2.3 Gb","TIR",15,0.004422
"2.3 Gb","TIR",16,0.003772
"2.3 Gb","TIR",17,0.002984
"2.3 Gb","TIR",18,0.002248
"2.3 Gb","TIR",19,0.001606
"2.3 Gb","TIR",20,0.001083
"2.3 Gb","TIR",21,0.000697
"2.3 Gb","TIR",22,0.00035
"2.3 Gb","TIR",23,0.000199
"2.3 Gb","TIR",24,0.000113
"2.3 Gb","TIR",25,6e-05
"2.3 Gb","TIR",26,2.6e-05
"2.3 Gb","TIR",27,1.2e-05
"2.3 Gb","TIR",28,4e-06
"2.3 Gb","TIR",29,2e-06
"2.3 Gb","Helitron",0,0.000336
"2.3 Gb","Helitron",1,0.00051
"2.3 Gb","Helitron",2,0.000738
"2.3 Gb","Helitron",3,0.000962
"2.3 Gb","Helitron",4,0.001264
"2.3 Gb","Helitron",5,0.001458
"2.3 Gb","Helitron",6,0.001792
"2.3 Gb","Helitron",7,0.001955
"2.3 Gb","Helitron",8,0.002305
"2.3 Gb","Helitron",9,0.002249
"2.3 Gb","Helitron",10,0.002344
"2.3 Gb","Helitron",11,0.002505
"2.3 Gb","Helitron",12,0.002195
"2.3 Gb","Helitron",13,0.002141
"2.3 Gb","Helitron",14,0.001902
"2.3 Gb","Helitron",15,0.001469
"2.3 Gb","Helitron",16,0.001234
"2.3 Gb","Helitron",17,0.000919
"2.3 Gb","Helitron",18,0.000691
"2.3 Gb","Helitron",19,0.000502
"2.3 Gb","Helitron",20,0.000357
"2.3 Gb","Helitron",21,0.000231
"2.3 Gb","Helitron",22,0.00015
"2.3 Gb","Helitron",23,8.5e-05
"2.3 Gb","Helitron",24,5e-05
"2.3 Gb","Helitron",25,2.8e-05
"2.3 Gb","Helitron",26,1.5e-05
"2.3 Gb","Helitron",27,8e-06
"2.3 Gb","Helitron",28,4e-06
"2.3 Gb","Helitron",29,2e-06
