"pop","kind","length_mb"
"Landrace W","ROH",0.835
"Landrace W","ROH",0.864
"Landrace W","ROH",0.534
"Landrace W","ROH",1.11
"Landrace W","ROH",1.811
"Landrace W","ROH",1.036
"Landrace W","ROH",1.337
"Landrace W","ROH",2.379
"Landrace W","ROH",2.82
"Landrace W","ROH",1.315
"Landrace W","ROH",1.981
"Landrace W","ROH",0.386
"Landrace W","ROH",1.031
"Landrace W","ROH",1.821
"Landrace W","ROH",0.696
"Landrace W","ROH",1.685
"Landrace W","ROH",2.191
"Landrace W","ROH",2.745
"Landrace W","ROH",0.989
"Landrace W","ROH",0.629
"Landrace W","ROH",1.052
"Landrace W","ROH",0.823
"Landrace W","ROH",0.781
"Landrace W","ROH",2.029
"Landrace W","ROH",1.157
"Landrace W","ROH",1.379
"Landrace W","ROH",2.886
"Landrace W","ROH",2.907
"Landrace W","ROH",1.4
"Landrace W","ROH",1.494
"Landrace W","ROH",1.342
"Landrace W","ROH",4.505
"Landrace W","ROH",0.608
"Landrace W","ROH",3.403
"Landrace W","ROH",2.564
"Landrace W","ROH",1.619
"Landrace W","ROH",0.943
"Landrace W","ROH",1.143
"Landrace W","ROH",1.303
"Landrace W","ROH",0.772
"Landrace W","ROH",1.623
"Landrace W","ROH",0.66
"Landrace W","ROH",1.673
"Landrace W","ROH",1.147
"Landrace W","ROH",1.091
"Landrace W","ROH",0.395
"Landrace W","ROH",0.743
"Landrace W","ROH",1.43
"Landrace W","ROH",0.807
"Landrace W","ROH",1.255
"Landrace W","ROH",1.506
"Landrace W","ROH",1.095
"Landrace W","ROH",4.9
"Landrace W","ROH",0.98
"Landrace W","ROH",1.649
"Landrace W","ROH",0.658
"Landrace W","ROH",0.954
"Landrace W","ROH",1.573
"Landrace W","ROH",1.947
"Landrace W","ROH",1.31
"Landrace W","ROH",3.002
"Landrace W","ROH",2.349
"Landrace W","ROH",1.166
"Landrace W","ROH",1.8
"Landrace W","ROH",2.723
"Landrace W","ROH",1.226
"Landrace W","ROH",0.921
"Landrace W","ROH",3.03
"Landrace W","ROH",2.527
"Landrace W","ROH",1.808
"Landrace W","ROH",1.5
"Landrace W","ROH",0.482
"Landrace W","ROH",1.222
"Landrace W","ROH",2.108
"Landrace W","ROH",0.653
"Landrace W","ROH",2.494
"Landrace W","ROH",1.911
"Landrace W","ROH",1.441
"Landrace W","ROH",0.805
"Landrace W","IBD",0.896
"Landrace W","IBD",0.879
"Landrace W","IBD",0.45
"Landrace W","IBD",0.904
"Landrace W","IBD",0.808
"Landrace W","IBD",1.103
"Landrace W","IBD",0.908
"Landrace W","IBD",0.434
"Landrace W","IBD",0.509
"Landrace W","IBD",1.148
"Landrace W","IBD",2.002
"Landrace W","IBD",2.524
"Landrace W","IBD",1.919
"Landrace W","IBD",0.816
"Landrace W","IBD",0.716
"Landrace W","IBD",0.527
"Landrace W","IBD",0.599
"Landrace W","IBD",1.661
"Landrace W","IBD",1.327
"Landrace W","IBD",1.375
"Landrace W","IBD",0.664
"Landrace W","IBD",0.394
"Landrace W","IBD",0.783
"Landrace W","IBD",2.714
"Landrace W","IBD",1.703
"Landrace W","IBD",1.628
"Landrace W","IBD",1.592
"Landrace W","IBD",0.854
"Landrace W","IBD",1.262
"Landrace W","IBD",0.54
"Landrace W","IBD",0.757
"Landrace W","IBD",2.034
"Landrace W","IBD",0.937
"Landrace W","IBD",0.772
"Landrace W","IBD",1.948
"Landrace W","IBD",2.815
"Landrace W","IBD",0.527
"Landrace W","IBD",1.08
"Landrace W","IBD",2.178
"Landrace W","IBD",1.157
"Landrace W","IBD",0.289
"Landrace W","IBD",3.639
"Landrace W","IBD",0.538
"Landrace W","IBD",1.202
"Landrace W","IBD",0.788
"Landrace W","IBD",1.049
"Landrace W","IBD",0.883
"Landrace W","IBD",0.66
"Landrace W","IBD",0.831
"Landrace W","IBD",1.888
"Landrace W","IBD",0.728
"Landrace W","IBD",0.888
"Landrace W","IBD",1.139
"Landrace W","IBD",1.253
"Landrace W","IBD",0.805
"Landrace W","IBD",0.789
"Landrace W","IBD",0.863
"Landrace W","IBD",0.604
"Landrace W","IBD",1.066
"Landrace W","IBD",1.53
"Landrace W","IBD",2.471
"Landrace W","IBD",0.683
"Landrace W","IBD",0.525
"Landrace W","IBD",0.926
"Landrace W","IBD",2.163
"Landrace W","IBD",3.004
"Landrace W","IBD",0.65
"Landrace W","IBD",0.904
"Landrace W","IBD",1.719
"Landrace W","IBD",1.007
"Landrace W","IBD",1.531
"Landrace W","IBD",0.891
"Landrace W","IBD",0.885
"Landrace W","IBD",0.565
"Landrace W","IBD",0.914
"Landrace W","IBD",1.624
"Landrace W","IBD",0.629
"Landrace W","IBD",1.276
"Landrace W","IBD",0.973
"Landrace W","IBD",0.595
"Landrace W","IBD",0.679
"Landrace W","IBD",0.9
"Landrace W","IBD",0.35
"Landrace W","IBD",1.298
"Landrace W","IBD",1.26
"Landrace W","IBD",0.595
"Landrace W","IBD",0.746
"Landrace W","IBD",1.028
"Landrace W","IBD",0.746
"Landrace W","IBD",1.477
"Landrace W","IBD",0.877
"Landrace W","IBD",0.25
"Landrace W","IBD",0.737
"Landrace W","IBD",0.641
"Landrace W","IBD",1.23
"Landrace W","IBD",0.634
"Landrace W","IBD",0.958
"Landrace W","IBD",1.409
"Landrace W","IBD",1.272
"Landrace W","IBD",0.528
"Landrace W","IBD",0.36
"Landrace W","IBD",1.538
"Landrace W","IBD",1.113
"Landrace W","IBD",1.447
"Landrace W","IBD",1.036
"Landrace W","IBD",1.306
"Landrace W","IBD",1.055
"Landrace W","IBD",1.247
"Landrace W","IBD",2.705
"Landrace W","IBD",0.969
"Landrace W","IBD",0.998
"Landrace W","IBD",1.053
"Landrace W","IBD",1.124
"Landrace W","IBD",1.072
"Landrace W","IBD",2.206
"Landrace W","IBD",1.746
"Landrace W","IBD",1.192
"Landrace W","IBD",0.591
"Landrace W","IBD",0.92
"Landrace W","IBD",1.107
"Landrace W","IBD",0.806
"Landrace W","IBD",2.048
"Landrace W","IBD",0.75
"Landrace W","IBD",0.962
"Landrace W","IBD",1.532
"Landrace W","IBD",1.025
"Landrace W","IBD",3.146
"Landrace W","IBD",0.561
"Landrace W","IBD",1.333
"Landrace W","IBD",1.43
"Landrace W","IBD",1.77
"Landrace W","IBD",1.129
"Landrace W","IBD",0.437
"Landrace W","IBD",0.571
"Landrace W","IBD",0.535
"Landrace W","IBD",1.973
"Landrace W","IBD",1.168
"Landrace W","IBD",1.752
"Landrace W","IBD",1.199
"Landrace W","IBD",1.712
"Landrace W","IBD",0.866
"Landrace W","IBD",1.289
"Landrace W","IBD",1.469
"Landrace W","IBD",1.454
"Landrace W","IBD",0.802
"Landrace W","IBD",1.161
"Landrace W","IBD",0.676
"Landrace W","IBD",1.274
"Landrace W","IBD",1.248
"Landrace W","IBD",1.947
"Cultivar A","ROH",2.188
"Cultivar A","ROH",6.187
"Cultivar A","ROH",2.241
"Cultivar A","ROH",3.094
"Cultivar A","ROH",2.724
"Cultivar A","ROH",2.87
"Cultivar A","ROH",4.007
"Cultivar A","ROH",4.368
"Cultivar A","ROH",1.372
"Cultivar A","ROH",2.865
"Cultivar A","ROH",4.48
"Cultivar A","ROH",2.41
"Cultivar A","ROH",5.631
"Cultivar A","ROH",2.649
"Cultivar A","ROH",2.965
"Cultivar A","ROH",3.116
"Cultivar A","ROH",2.593
"Cultivar A","ROH",5.611
"Cultivar A","ROH",3.516
"Cultivar A","ROH",4.458
"Cultivar A","ROH",1.376
"Cultivar A","ROH",1.865
"Cultivar A","ROH",3.479
"Cultivar A","ROH",4.666
"Cultivar A","ROH",5.592
"Cultivar A","ROH",3.571
"Cultivar A","ROH",3.051
"Cultivar A","ROH",3.467
"Cultivar A","ROH",2.723
"Cultivar A","ROH",1.334
"Cultivar A","ROH",1.713
"Cultivar A","ROH",3.144
"Cultivar A","ROH",8.169
"Cultivar A","ROH",4.509
"Cultivar A","ROH",3.168
"Cultivar A","ROH",1.193
"Cultivar A","ROH",1.644
"Cultivar A","ROH",3.987
"Cultivar A","ROH",6.005
"Cultivar A","ROH",1.405
"Cultivar A","ROH",1.849
"Cultivar A","ROH",7.728
"Cultivar A","ROH",3.508
"Cultivar A","ROH",2.69
"Cultivar A","ROH",5.463
"Cultivar A","ROH",3.717
"Cultivar A","ROH",3.724
"Cultivar A","ROH",1.815
"Cultivar A","ROH",8.401
"Cultivar A","ROH",2.961
"Cultivar A","ROH",4.023
"Cultivar A","ROH",4.024
"Cultivar A","ROH",2.834
"Cultivar A","ROH",4.68
"Cultivar A","ROH",3.833
"Cultivar A","ROH",3.296
"Cultivar A","ROH",4.926
"Cultivar A","ROH",2.527
"Cultivar A","ROH",5.484
"Cultivar A","ROH",3.071
"Cultivar A","ROH",2.421
"Cultivar A","ROH",4.535
"Cultivar A","ROH",1.665
"Cultivar A","ROH",12.869
"Cultivar A","ROH",4.08
"Cultivar A","ROH",2.547
"Cultivar A","ROH",2.106
"Cultivar A","ROH",3.639
"Cultivar A","ROH",5.168
"Cultivar A","ROH",2.073
"Cultivar A","ROH",2.577
"Cultivar A","ROH",1.015
"Cultivar A","ROH",1.633
"Cultivar A","ROH",7.736
"Cultivar A","ROH",6.443
"Cultivar A","ROH",6.949
"Cultivar A","ROH",1.605
"Cultivar A","ROH",2.449
"Cultivar A","ROH",4.401
"Cultivar A","ROH",4.447
"Cultivar A","ROH",9.242
"Cultivar A","ROH",1.438
"Cultivar A","ROH",4.688
"Cultivar A","ROH",3.318
"Cultivar A","ROH",2.264
"Cultivar A","ROH",7.639
"Cultivar A","ROH",2.15
"Cultivar A","ROH",2.297
"Cultivar A","ROH",2.377
"Cultivar A","ROH",4.582
"Cultivar A","ROH",6.875
"Cultivar A","ROH",8.621
"Cultivar A","ROH",3.596
"Cultivar A","ROH",2.884
"Cultivar A","ROH",4.943
"Cultivar A","ROH",5.675
"Cultivar A","ROH",1.505
"Cultivar A","ROH",4.931
"Cultivar A","ROH",3.824
"Cultivar A","ROH",2.03
"Cultivar A","ROH",2.564
"Cultivar A","ROH",3.551
"Cultivar A","ROH",2.179
"Cultivar A","ROH",4.408
"Cultivar A","ROH",6.587
"Cultivar A","ROH",2.003
"Cultivar A","ROH",7.318
"Cultivar A","ROH",5.939
"Cultivar A","ROH",4.785
"Cultivar A","ROH",3.237
"Cultivar A","ROH",1.563
"Cultivar A","ROH",1.443
"Cultivar A","ROH",2.261
"Cultivar A","ROH",1.559
"Cultivar A","ROH",8.472
"Cultivar A","ROH",6.154
"Cultivar A","ROH",3.394
"Cultivar A","ROH",1.168
"Cultivar A","ROH",2.199
"Cultivar A","ROH",2.016
"Cultivar A","ROH",2.142
"Cultivar A","ROH",1.621
"Cultivar A","ROH",2.758
"Cultivar A","ROH",0.8
"Cultivar A","ROH",5.252
"Cultivar A","ROH",1.918
"Cultivar A","ROH",2.192
"Cultivar A","ROH",3.827
"Cultivar A","ROH",4.999
"Cultivar A","ROH",2.222
"Cultivar A","ROH",2.318
"Cultivar A","ROH",2.923
"Cultivar A","ROH",3.943
"Cultivar A","ROH",2.113
"Cultivar A","ROH",2.843
"Cultivar A","ROH",2.431
"Cultivar A","ROH",0.874
"Cultivar A","ROH",1.576
"Cultivar A","ROH",4.173
"Cultivar A","ROH",1.437
"Cultivar A","ROH",6.87
"Cultivar A","ROH",15.804
"Cultivar A","ROH",5.239
"Cultivar A","ROH",1.379
"Cultivar A","ROH",2.443
"Cultivar A","ROH",3.897
"Cultivar A","ROH",3.903
"Cultivar A","ROH",1.072
"Cultivar A","ROH",3.946
"Cultivar A","ROH",4.918
"Cultivar A","IBD",2.691
"Cultivar A","IBD",2.265
"Cultivar A","IBD",2.505
"Cultivar A","IBD",1.891
"Cultivar A","IBD",2.147
"Cultivar A","IBD",3.006
"Cultivar A","IBD",1.725
"Cultivar A","IBD",1.998
"Cultivar A","IBD",2.458
"Cultivar A","IBD",0.956
"Cultivar A","IBD",2.312
"Cultivar A","IBD",3.964
"Cultivar A","IBD",2.151
"Cultivar A","IBD",1.939
"Cultivar A","IBD",1.284
"Cultivar A","IBD",1.877
"Cultivar A","IBD",1.675
"Cultivar A","IBD",3.624
"Cultivar A","IBD",1.466
"Cultivar A","IBD",0.755
"Cultivar A","IBD",1.192
"Cultivar A","IBD",1.754
"Cultivar A","IBD",2.162
"Cultivar A","IBD",1.52
"Cultivar A","IBD",2.304
"Cultivar A","IBD",2.04
"Cultivar A","IBD",3.581
"Cultivar A","IBD",1.145
"Cultivar A","IBD",1.771
"Cultivar A","IBD",2.144
"Cultivar A","IBD",1.604
"Cultivar A","IBD",1.668
"Cultivar A","IBD",1.03
"Cultivar A","IBD",3.403
"Cultivar A","IBD",2.42
"Cultivar A","IBD",0.865
"Cultivar A","IBD",1.423
"Cultivar A","IBD",6.182
"Cultivar A","IBD",0.954
"Cultivar A","IBD",2.797
"Cultivar A","IBD",1.509
"Cultivar A","IBD",2.055
"Cultivar A","IBD",1.278
"Cultivar A","IBD",0.974
"Cultivar A","IBD",4.215
"Cultivar A","IBD",0.614
"Cultivar A","IBD",0.736
"Cultivar A","IBD",1.001
"Cultivar A","IBD",1.26
"Cultivar A","IBD",1.73
"Cultivar A","IBD",2.234
"Cultivar A","IBD",1.109
"Cultivar A","IBD",3.402
"Cultivar A","IBD",1.839
"Cultivar A","IBD",2.603
"Cultivar A","IBD",1.3
"Cultivar A","IBD",2.693
"Cultivar A","IBD",0.854
"Cultivar A","IBD",2.342
"Cultivar A","IBD",0.766
"Cultivar A","IBD",0.463
"Cultivar A","IBD",3.947
"Cultivar A","IBD",1.556
"Cultivar A","IBD",1.043
"Cultivar A","IBD",1.165
"Cultivar A","IBD",1.493
"Cultivar A","IBD",1.523
"Cultivar A","IBD",0.987
"Cultivar A","IBD",1.477
"Cultivar A","IBD",3.373
"Cultivar A","IBD",3.322
"Cultivar A","IBD",2.353
"Cultivar A","IBD",3.679
"Cultivar A","IBD",2.808
"Cultivar A","IBD",2.152
"Cultivar A","IBD",4.226
"Cultivar A","IBD",3.455
"Cultivar A","IBD",1.102
"Cultivar A","IBD",1
"Cultivar A","IBD",2.86
"Cultivar A","IBD",3.932
"Cultivar A","IBD",5.308
"Cultivar A","IBD",0.819
"Cultivar A","IBD",1.87
"Cultivar A","IBD",0.712
"Cultivar A","IBD",3.003
"Cultivar A","IBD",1.898
"Cultivar A","IBD",2.186
"Cultivar A","IBD",5.629
"Cultivar A","IBD",0.526
"Cultivar A","IBD",1.416
"Cultivar A","IBD",0.7
"Cultivar A","IBD",1.103
"Cultivar A","IBD",2.695
"Cultivar A","IBD",0.708
"Cultivar A","IBD",1.139
"Cultivar A","IBD",2.225
"Cultivar A","IBD",0.93
"Cultivar A","IBD",1.803
"Cultivar A","IBD",0.762
"Cultivar A","IBD",1.568
"Cultivar A","IBD",1.729
"Cultivar A","IBD",1.591
"Cultivar A","IBD",2.576
"Cultivar A","IBD",2.779
"Cultivar A","IBD",1.078
"Cultivar A","IBD",1.189
"Cultivar A","IBD",0.806
"Cultivar A","IBD",2
"Cultivar A","IBD",1.063
"Cultivar A","IBD",1.074
"Cultivar A","IBD",1.589
"Cultivar A","IBD",1.306
"Cultivar A","IBD",2.242
"Cultivar A","IBD",2.664
"Cultivar A","IBD",2.252
"Cultivar A","IBD",1.038
"Cultivar A","IBD",2.448
"Cultivar A","IBD",2.785
"Cultivar A","IBD",2.964
"Cultivar A","IBD",3.286
"Cultivar A","IBD",1.057
"Cultivar A","IBD",0.986
"Cultivar A","IBD",3.413
"Cultivar A","IBD",1.882
"Cultivar A","IBD",3.756
"Cultivar A","IBD",0.723
"Cultivar A","IBD",5.868
"Cultivar A","IBD",1.668
"Cultivar A","IBD",0.791
"Cultivar A","IBD",4.36
"Cultivar A","IBD",1.164
"Cultivar A","IBD",2.068
"Cultivar A","IBD",1.642
"Cultivar A","IBD",2.629
"Cultivar A","IBD",1.726
"Cultivar A","IBD",2.077
"Cultivar A","IBD",0.716
"Cultivar A","IBD",1.407
"Cultivar A","IBD",2.122
"Cultivar A","IBD",2.414
"Cultivar A","IBD",2.825
"Cultivar A","IBD",4.586
"Cultivar A","IBD",1.659
"Cultivar A","IBD",4.078
"Cultivar A","IBD",1.067
"Cultivar A","IBD",1.148
"Cultivar A","IBD",1.982
"Cultivar A","IBD",4.535
"Cultivar A","IBD",1.216
"Cultivar B","ROH",4.441
"Cultivar B","ROH",6.212
"Cultivar B","ROH",3.07
"Cultivar B","ROH",3.117
"Cultivar B","ROH",1.751
"Cultivar B","ROH",6.577
"Cultivar B","ROH",3.071
"Cultivar B","ROH",5.762
"Cultivar B","ROH",7.023
"Cultivar B","ROH",4.04
"Cultivar B","ROH",4.733
"Cultivar B","ROH",2.106
"Cultivar B","ROH",2.54
"Cultivar B","ROH",3.54
"Cultivar B","ROH",2.955
"Cultivar B","ROH",3.41
"Cultivar B","ROH",5.018
"Cultivar B","ROH",3.092
"Cultivar B","ROH",6.244
"Cultivar B","ROH",3.033
"Cultivar B","ROH",3.303
"Cultivar B","ROH",5.238
"Cultivar B","ROH",4.277
"Cultivar B","ROH",2.344
"Cultivar B","ROH",2.976
"Cultivar B","ROH",1.568
"Cultivar B","ROH",2.372
"Cultivar B","ROH",2.728
"Cultivar B","ROH",3.57
"Cultivar B","ROH",1.148
"Cultivar B","ROH",3.593
"Cultivar B","ROH",3.866
"Cultivar B","ROH",2.199
"Cultivar B","ROH",5.719
"Cultivar B","ROH",7.721
"Cultivar B","ROH",2.275
"Cultivar B","ROH",2.095
"Cultivar B","ROH",4.917
"Cultivar B","ROH",2.229
"Cultivar B","ROH",3.452
"Cultivar B","ROH",4.157
"Cultivar B","ROH",3.099
"Cultivar B","ROH",3.4
"Cultivar B","ROH",2.34
"Cultivar B","ROH",3.013
"Cultivar B","ROH",9.33
"Cultivar B","ROH",3.199
"Cultivar B","ROH",3.703
"Cultivar B","ROH",3.748
"Cultivar B","ROH",4.41
"Cultivar B","ROH",5.291
"Cultivar B","ROH",4.32
"Cultivar B","ROH",6.63
"Cultivar B","ROH",1.925
"Cultivar B","ROH",3.913
"Cultivar B","ROH",3.388
"Cultivar B","ROH",3.127
"Cultivar B","ROH",10.227
"Cultivar B","ROH",2.925
"Cultivar B","ROH",7.068
"Cultivar B","ROH",10.331
"Cultivar B","ROH",4.139
"Cultivar B","ROH",4.147
"Cultivar B","ROH",1.781
"Cultivar B","ROH",6.497
"Cultivar B","ROH",4.61
"Cultivar B","ROH",5.651
"Cultivar B","ROH",2.039
"Cultivar B","ROH",5.719
"Cultivar B","ROH",4.899
"Cultivar B","ROH",2.088
"Cultivar B","ROH",2.141
"Cultivar B","ROH",3.566
"Cultivar B","ROH",2.014
"Cultivar B","ROH",6.888
"Cultivar B","ROH",7.312
"Cultivar B","ROH",5.913
"Cultivar B","ROH",10.362
"Cultivar B","ROH",5.026
"Cultivar B","ROH",2.563
"Cultivar B","ROH",3.016
"Cultivar B","ROH",6.053
"Cultivar B","ROH",2.129
"Cultivar B","ROH",7.834
"Cultivar B","ROH",2.69
"Cultivar B","ROH",1.265
"Cultivar B","ROH",6.68
"Cultivar B","ROH",2.313
"Cultivar B","ROH",1.203
"Cultivar B","ROH",1.856
"Cultivar B","ROH",2.864
"Cultivar B","ROH",3.516
"Cultivar B","ROH",4.282
"Cultivar B","ROH",3.832
"Cultivar B","ROH",1.729
"Cultivar B","ROH",2.582
"Cultivar B","ROH",1.739
"Cultivar B","ROH",4.718
"Cultivar B","ROH",7.469
"Cultivar B","ROH",2.579
"Cultivar B","ROH",19.773
"Cultivar B","ROH",4.004
"Cultivar B","ROH",4.749
"Cultivar B","ROH",2.26
"Cultivar B","ROH",2.956
"Cultivar B","ROH",7.929
"Cultivar B","ROH",5.183
"Cultivar B","ROH",1.46
"Cultivar B","ROH",5.844
"Cultivar B","ROH",1.275
"Cultivar B","ROH",3.405
"Cultivar B","ROH",6.682
"Cultivar B","ROH",4.547
"Cultivar B","ROH",6.904
"Cultivar B","ROH",3.589
"Cultivar B","ROH",2.081
"Cultivar B","ROH",2.843
"Cultivar B","ROH",4.58
"Cultivar B","ROH",2.155
"Cultivar B","ROH",10.193
"Cultivar B","ROH",1.762
"Cultivar B","ROH",4.442
"Cultivar B","ROH",3.133
"Cultivar B","ROH",3.293
"Cultivar B","ROH",3.113
"Cultivar B","ROH",2.227
"Cultivar B","ROH",3.737
"Cultivar B","ROH",2.285
"Cultivar B","ROH",3.247
"Cultivar B","ROH",2.884
"Cultivar B","ROH",6.73
"Cultivar B","ROH",1.704
"Cultivar B","ROH",4.558
"Cultivar B","ROH",2.907
"Cultivar B","ROH",2.987
"Cultivar B","ROH",4.819
"Cultivar B","ROH",3.287
"Cultivar B","ROH",7.588
"Cultivar B","ROH",1.114
"Cultivar B","ROH",5.781
"Cultivar B","ROH",1.434
"Cultivar B","ROH",2.867
"Cultivar B","ROH",2.518
"Cultivar B","ROH",2.461
"Cultivar B","ROH",3.254
"Cultivar B","ROH",4.272
"Cultivar B","ROH",9.862
"Cultivar B","ROH",4.896
"Cultivar B","ROH",3.06
"Cultivar B","ROH",2.509
"Cultivar B","IBD",1.04
"Cultivar B","IBD",2.932
"Cultivar B","IBD",0.893
"Cultivar B","IBD",3.13
"Cultivar B","IBD",3.84
"Cultivar B","IBD",1.147
"Cultivar B","IBD",1.787
"Cultivar B","IBD",0.677
"Cultivar B","IBD",2.734
"Cultivar B","IBD",0.848
"Cultivar B","IBD",2.895
"Cultivar B","IBD",1.106
"Cultivar B","IBD",1.374
"Cultivar B","IBD",2.399
"Cultivar B","IBD",1.085
"Cultivar B","IBD",1.416
"Cultivar B","IBD",3.847
"Cultivar B","IBD",1.024
"Cultivar B","IBD",2.856
"Cultivar B","IBD",0.802
"Cultivar B","IBD",3.539
"Cultivar B","IBD",2.676
"Cultivar B","IBD",2.773
"Cultivar B","IBD",6.354
"Cultivar B","IBD",2.074
"Cultivar B","IBD",2.826
"Cultivar B","IBD",2.461
"Cultivar B","IBD",2.487
"Cultivar B","IBD",3.347
"Cultivar B","IBD",1.933
"Cultivar B","IBD",5.119
"Cultivar B","IBD",2.159
"Cultivar B","IBD",1.402
"Cultivar B","IBD",2.048
"Cultivar B","IBD",1.715
"Cultivar B","IBD",3.887
"Cultivar B","IBD",2.102
"Cultivar B","IBD",1.769
"Cultivar B","IBD",1.011
"Cultivar B","IBD",4.717
"Cultivar B","IBD",1.228
"Cultivar B","IBD",3.519
"Cultivar B","IBD",1.921
"Cultivar B","IBD",5.536
"Cultivar B","IBD",1.749
"Cultivar B","IBD",1.51
"Cultivar B","IBD",1.089
"Cultivar B","IBD",1.323
"Cultivar B","IBD",1.718
"Cultivar B","IBD",1.847
"Cultivar B","IBD",1.73
"Cultivar B","IBD",2.094
"Cultivar B","IBD",0.694
"Cultivar B","IBD",2.096
"Cultivar B","IBD",1.483
"Cultivar B","IBD",1.593
"Cultivar B","IBD",2.038
"Cultivar B","IBD",3.075
"Cultivar B","IBD",1.299
"Cultivar B","IBD",3.69
"Cultivar B","IBD",1.077
"Cultivar B","IBD",4.079
"Cultivar B","IBD",1.636
"Cultivar B","IBD",1.661
"Cultivar B","IBD",0.998
"Cultivar B","IBD",1.196
"Cultivar B","IBD",0.971
"Cultivar B","IBD",1.727
"Cultivar B","IBD",2.855
"Cultivar B","IBD",1.643
"Cultivar B","IBD",1.291
"Cultivar B","IBD",3.712
"Cultivar B","IBD",2.67
"Cultivar B","IBD",1.348
"Cultivar B","IBD",1.314
"Cultivar B","IBD",1.313
"Cultivar B","IBD",0.8
"Cultivar B","IBD",0.969
"Cultivar B","IBD",1.882
"Cultivar B","IBD",1.902
"Cultivar B","IBD",1.762
"Cultivar B","IBD",1.586
"Cultivar B","IBD",2.136
"Cultivar B","IBD",4.879
"Cultivar B","IBD",3.334
"Cultivar B","IBD",2.776
"Cultivar B","IBD",1.914
"Cultivar B","IBD",1.826
"Cultivar B","IBD",1.636
"Cultivar B","IBD",2.529
"Cultivar B","IBD",2.47
"Cultivar B","IBD",3.008
"Cultivar B","IBD",3.551
"Cultivar B","IBD",1.369
"Cultivar B","IBD",1.659
"Cultivar B","IBD",1.466
"Cultivar B","IBD",4.668
"Cultivar B","IBD",2.667
"Cultivar B","IBD",1.393
"Cultivar B","IBD",5.295
"Cultivar B","IBD",3.867
"Cultivar B","IBD",4.53
"Cultivar B","IBD",1.35
"Cultivar B","IBD",1.351
"Cultivar B","IBD",0.96
"Cultivar B","IBD",2.141
"Cultivar B","IBD",0.841
"Cultivar B","IBD",5.11
"Cultivar B","IBD",2.898
"Cultivar B","IBD",3.58
"Cultivar B","IBD",2.152
"Cultivar B","IBD",0.426
"Cultivar B","IBD",1.262
"Cultivar B","IBD",0.766
"Cultivar B","IBD",2.136
"Cultivar B","IBD",2.833
"Cultivar B","IBD",1.312
"Cultivar B","IBD",2.085
"Cultivar B","IBD",3.283
"Cultivar B","IBD",0.684
"Cultivar B","IBD",1.057
"Cultivar B","IBD",2.25
"Cultivar B","IBD",2.97
"Cultivar B","IBD",2.854
"Cultivar B","IBD",11.348
"Cultivar B","IBD",1.2
"Cultivar B","IBD",1.231
"Cultivar B","IBD",2.407
"Cultivar B","IBD",1.274
"Cultivar B","IBD",3.509
"Cultivar B","IBD",1.706
"Cultivar B","IBD",2.779
"Cultivar B","IBD",1.372
"Cultivar B","IBD",0.791
"Cultivar B","IBD",1.465
"Cultivar B","IBD",0.845
"Cultivar B","IBD",1.036
"Cultivar B","IBD",1.202
"Cultivar B","IBD",1.699
"Cultivar B","IBD",3.3
"Cultivar B","IBD",1.471
"Cultivar B","IBD",2.626
"Cultivar B","IBD",1.47
"Cultivar B","IBD",3.925
"Cultivar B","IBD",3.838
"Cultivar B","IBD",2.248
"Cultivar B","IBD",8.081
"Cultivar B","IBD",2.001
"Cultivar B","IBD",1.84
"Cultivar B","IBD",1.366
